State,State Abbreviation,"Car, truck or van drove alone %","Car, truck or van carpooled %",Public transportation (excluding taxicab) %,Walked %,"Taxicab, motorcycle, bicycle or other means %",Worked at home %,GDP in billion current U.S. dollars,Median household income in 2015,Population density(Pop. Per km²),land area (km²),"Population estimate July 1, 2016",Number of workers,Mean travel time to work (minutes),avgPrice,salesVolume
North Carolina,NC,81.1114159297937,10.030034477215901,1.1297709713017938,1.8552113301794182,1.3464809577367236,4.527086333772472,0.3358392173786391,-0.9100769097475098,-0.1343746464689484,-0.24367312327468993,0.531330140189922,0.5011103286884752,-0.028254160706266886,0.08283299836545477,0.9967859918369942
North Dakota,ND,78.97120689610702,10.096286533039978,0.4333280886878155,4.530341993876662,1.605377395233907,4.363459093054628,-0.6737596837942085,0.440379728338026,-0.26255732820102,-0.002979944123220658,-0.7776783151985989,-0.7832009748395266,-1.6791153051363714,-0.2549474071370938,-0.7701348077141871
Ohio,OH,83.63178557378875,7.787777696801625,1.6863750329575065,2.240576251746128,1.168269676537575,3.48521576816841,0.5675946619986485,-0.5657513192244042,-0.08540300082650758,-0.335275227086555,0.7359434888522441,0.790634922133709,-0.16426175475664298,-1.2681404772791665,0.3584600592527646
Oklahoma,OK,83.37031453983639,9.706040498530143,0.5305922628271956,1.682586195561316,1.3513989462117155,3.3590675570332387,-0.39424375595556693,-0.8317680389290039,-0.23259635895875894,-0.007771831590557784,-0.3363233967130699,-0.3565410541724036,-0.6811644341136972,0.1931124872586424,-0.3210285798362804
Oregon,OR,71.58533050584343,10.25073923737969,4.289524424907116,4.025392417332009,3.5287486295037342,6.320264785034009,-0.29583708606638853,-0.2396765766427392,-0.2420314386072379,0.3157056489352599,-0.3126350744754324,-0.3428742770672624,-0.454213885544981,0.36335600570003207,-0.31966960255810234
Pennsylvania,PA,76.81664142991411,8.34813595977344,5.579995108870243,3.899423374998828,1.4741728750214094,3.8816312514219637,0.7829141434794964,-0.07478228768344615,-0.08443999545951819,-0.28943542061975436,0.8990466442987854,0.9936642179722603,0.6012900672732908,0.08209046839271439,0.5812965703140193
Rhode Island,RI,80.33801579464976,8.029309740957455,2.6555274348436066,4.058287046289681,1.8020781184143613,3.1167818648451306,-0.6654580586463115,0.17680352899768886,0.3926988552737861,-0.8055777809812189,-0.7360645315822237,-0.7450494289012268,0.08182877556265737,0.49023954446512613,-0.7444572896686117
South Carolina,SC,82.94166815177554,8.964310896566687,0.7050554397601098,2.4872829481090046,1.592391851788717,3.3092907119999384,-0.33163653758578365,-0.9728937817320024,-0.16268483877097753,-0.4628096478632953,-0.19166518828808482,-0.23936797604316284,-0.004473220993751,-0.14191297170407846,-0.34523983292382165
South Dakota,SD,79.74512838402592,9.202864788804941,0.29406462397890976,4.165135080083443,1.3518544099157843,5.240952713191,-0.6853861411801803,-0.35968651281581543,-0.262277766988006,0.07744260871822516,-0.762690192392835,-0.7704193768920848,-1.9594310488869429,1.4625141323644926,-0.7776449453041187
Tennessee,TN,83.89670401714433,9.192623427526092,0.7472797831580951,1.3542749789396882,1.261362875340578,3.5477549178912193,-0.06790833515435186,-0.9689677272329715,-0.1651071918859442,-0.3308572071475924,0.043968117612748284,0.010993762382135897,0.20863960545508436,0.06645126636123827,0.1244656294864687
Texas,TX,80.16358816862395,10.709357242575237,1.5743625376611097,1.6037778201399537,1.8354650479103927,4.113449183089362,2.7571117006909986,-0.07998165715513557,-0.20053148888071656,2.2670160260841428,3.001300056166684,2.9623308737021516,0.43504844619321514,1.2040845835440364,4.017720956106984
Utah,UT,76.00649529450638,11.846340239619154,2.321769485883519,2.5529903442536686,2.1323871354619217,5.140017500275354,-0.44365619984594695,0.6902677917222828,-0.24560511742717026,0.15252615088007843,-0.4579471711625803,-0.4849925468882454,-0.8124280144069307,-0.1089453107469488,-0.31952655231829413
Vermont,VT,75.36223589450088,9.743883245099443,1.1920319231808716,5.255878284923928,1.6419452790893625,6.804025373205514,-0.7224611572688997,0.06188685271524719,-0.22574440068374088,-0.7089512623368082,-0.7962713281763207,-0.8069328550264658,-0.5528146238181922,-1.1878984650813407,-0.780470187540331
Virginia,VA,77.44843718893092,9.373855265777424,4.404638662154091,2.474442564204659,1.7625174198686044,4.536108899064304,0.2738593258462285,1.0457348882561515,-0.13158310729999756,-0.3514609554491114,0.2894360981670369,0.39402342933526346,1.0078172917044927,-1.137268930453524,0.8926096546966581
Washington,WA,72.69900858477583,10.068934096008437,6.2754056002321725,3.487740715429192,2.1547444071012416,5.3141665964531235,0.2690289091984597,0.8194031518660793,-0.19858087739528435,-0.03303524591645218,0.1327527591212529,0.13012655583340452,0.48495978827456004,0.2783667135841178,0.32706053161486026
West Virginia,WV,81.52150374637273,10.761753432370393,0.7005500454762008,2.7697171813417647,1.1624853826497468,3.0839902117891635,-0.6291985674461764,-1.5266796852574531,-0.22029461912248338,-0.5339265467362967,-0.6280578059149996,-0.6693432655335376,0.5902433350076394,1.0028386643252334,-0.7638405971626254
Wisconsin,WI,80.52160293685132,8.20660011977024,1.980177671000365,3.5408760236280457,1.6873784137175902,4.063364835032441,-0.11215578808369774,-0.08157330087095886,-0.20050374501689,-0.17825542452934923,-0.07767545473297263,0.006123655807539918,-0.5100287250754368,-0.26057500880577883,-0.2699596442247459
Wyoming,WY,77.05650622537864,10.831333832921974,1.5314225213642896,4.566423518249882,2.3096807903583976,3.704633111726812,-0.7055442435544191,0.4039841420362001,-0.26576928749377654,0.32875453754755185,-0.8017217447717861,-0.8145846289980964,-1.7487945362603516,1.8148423456011835,-0.7997104447945366
